ID,formula,amine_class,smiles,idx,acid_or_base,pka_type,pka_value,source,inchi_key,MLa_Prediction,MLb_Prediction
1145,C12H20N2,secondary,C=C=CCNCCCCNCC=C=C,9,base,pKAH1,9.81,chembl,IKSQCMLJDHRWOA-UHFFFAOYSA-N,8.603647620463267,8.768872757066982
1150,C11H15NO,secondary,CCC(NC)C(=O)c1ccccc1,3,base,pKAH1,8.18,chembl,DDPMGIMJSRUULN-UHFFFAOYSA-N,8.172504871013134,8.592475550455385
1151,C13H17N,tertiary,C=CCN(CC=C)Cc1ccccc1,3,base,pKAH1,8.21,chembl,LAVWIZQBXPOEEM-UHFFFAOYSA-N,9.018118003286169,9.169070262352328
1152,C13H21NO2,primary,CC[C@@H](N)Cc1cc(OC)c(C)cc1OC,3,base,pKAH1,9.97,chembl,MLYCFWZIAJAIGW-LLVKDONJSA-N,9.890481187077393,9.867867558619276
1156,C13H20N2,secondary,CNCc1cccc(N2CCCCC2)c1,1,base,pKAH1,9.45,chembl,WHELHMLNRPDTJU-UHFFFAOYSA-N,9.22937413928205,9.186523332337641
1158,C10H16N2,tertiary,CN(C)CCCc1cccnc1,1,base,pKAH1,9.56,chembl,ZJINUQHUNJMQFN-UHFFFAOYSA-N,8.924473538638239,9.038931925885274
1159,C12H19N3O,tertiary,CCCN1CCO[C@@H]2Cc3n[nH]cc3C[C@H]21,3,base,pKAH1,7.69,chembl,MMWBZHVPEPJHJM-VXGBXAGGSA-N,8.679672945645295,8.69733408322633
1167,C13H19NO2,primary,COc1cc2c(cc1CC(C)N)OC(C)C2,11,base,pKAH1,9.93,chembl,XBHKBTCXRYPZMX-UHFFFAOYSA-N,9.848789041039932,9.831558017025625
1184,C10H21NO4,secondary,C1COCCOCCOCCOCCN1,14,base,pKAH1,9.08,chembl,BJUOQSZSDIHZNP-UHFFFAOYSA-N,9.065388297838497,9.151910272121368
1199,C13H21NO3,secondary,CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c(O)c1,3,base,pKAH1,9.01,chembl,HUYWAWARQUIQLE-GXFFZTMASA-N,8.68126677525623,8.719031934580524
1204,C11H18N2O,tertiary,CCCCN(C)Cc1ncccc1O,4,base,pKAH1,8.75,chembl,GTRIKVRGSOKKKJ-UHFFFAOYSA-N,8.529698807484392,8.489171748044695
1212,C3H10N2O,primary,NCCCON,0,base,pKAH1,10.14,chembl,VSZFWDPIWSPZON-UHFFFAOYSA-N,10.036706779486533,10.142148801363016
1216,C13H16N2,secondary,Cn1c2c(c3ccccc31)CCNCC2,12,base,pKAH1,10.06,chembl,ZBXDOQWPGBISAR-UHFFFAOYSA-N,9.374300207897438,9.296372751483021
1221,C10H15N,primary,Cc1ccc(CC(C)N)cc1,8,base,pKAH1,10.04,chembl,ZDHZDWSHLNBTEB-UHFFFAOYSA-N,9.880197002724271,9.891947766879158
1225,C13H21NO3,primary,CCOc1c(OC)cc(CC(C)N)cc1OC,12,base,pKAH1,10.0,chembl,AHLXCGRWNKUNTQ-UHFFFAOYSA-N,9.848672510090159,9.812576160288293
1231,C9H12N4O,primary,CC1=C2C(=O)NC(N)N=C2N(C)C=C1,8,base,pKAH1,2.19,chembl,SAKRAQLCQWKSKE-UHFFFAOYSA-N,7.762761470640729,8.774746512890404
1232,C13H19NO2,tertiary,COc1ccc(OC)c2c1CC(N(C)C)C2,12,base,pKAH1,9.03,chembl,ISEMFVAEPPOTQF-UHFFFAOYSA-N,8.612084886820798,8.678087766054837
1239,C11H18N2O2,tertiary,COC(=O)N(C)CC#CCN1CCCC1,10,base,pKAH1,8.18,chembl,UDECXXFMDMEIDF-UHFFFAOYSA-N,8.298762277908514,8.574138692433566
1252,C12H21N5,primary,NCCNc1nccc(N2CCCCCC2)n1,0,base,pKAH1,9.61,chembl,JCUKFHHQQDCCBU-UHFFFAOYSA-N,10.024805173235846,9.99076362183934
1279,C8H11N,primary,C[C@H](N)c1ccccc1,2,base,pKAH1,9.52,chembl,RQEUFEKYXDPUSK-ZETCQYMHSA-N,9.575670580005998,9.45799404874977
1292,C10H13NO,primary,N[C@H]1CCc2ccccc2[C@@H]1O,0,base,pKAH1,9.42,chembl,IIMSEFZOOYSTDO-UWVGGRQHSA-N,8.805525464739842,8.787716731822691
1297,C9H12N2,secondary,CNC/C=C\c1cccnc1,1,base,pKAH1,9.39,chembl,CDZIJYWPNIJNOT-RQOWECAXSA-N,8.838022509102467,9.001049023339718
1305,C10H15NO,secondary,CNC(C)C(O)c1ccccc1,1,base,pKAH1,9.52,chembl,KWGRBVOPPLSCSI-UHFFFAOYSA-N,8.920141201855134,8.864041561049543
